frame_number,timestamp,file_directory
1,13-30-20,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-1_13-30-20.jpg
3,13-30-22,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-3_13-30-22.jpg
2,13-30-21,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-2_13-30-21.jpg
14,13-30-33,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-14_13-30-33.jpg
20,13-30-39,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-20_13-30-39.jpg
9,13-30-28,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-9_13-30-28.jpg
4,13-30-23,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-4_13-30-23.jpg
6,13-30-25,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-6_13-30-25.jpg
3,13-30-22,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-3_13-30-22.jpg
17,13-30-36,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-17_13-30-36.jpg
15,13-30-34,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-15_13-30-34.jpg
21,13-30-40,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-21_13-30-40.jpg
10,13-30-29,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-10_13-30-29.jpg
5,13-30-24,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-5_13-30-24.jpg
7,13-30-26,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-7_13-30-26.jpg
18,13-30-37,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-18_13-30-37.jpg
22,13-30-41,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-22_13-30-41.jpg
16,13-30-35,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-16_13-30-35.jpg
11,13-30-30,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-11_13-30-30.jpg
8,13-30-27,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-8_13-30-27.jpg
19,13-30-38,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-19_13-30-38.jpg
12,13-30-31,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-12_13-30-31.jpg
13,13-30-32,c:\Users\THANH CONG\Documents\RESFES\demo\13-03-2026\frame-13_13-30-32.jpg
