frame_number,timestamp,file_directory
1,10-00-27,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-1_10-00-27.jpg
18,10-00-44,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-18_10-00-44.jpg
2,10-00-28,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-2_10-00-28.jpg
8,10-00-34,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-8_10-00-34.jpg
3,10-00-29,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-3_10-00-29.jpg
13,10-00-39,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-13_10-00-39.jpg
11,10-00-37,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-11_10-00-37.jpg
19,10-00-45,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-19_10-00-45.jpg
6,10-00-32,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-6_10-00-32.jpg
4,10-00-30,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-4_10-00-30.jpg
9,10-00-35,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-9_10-00-35.jpg
3,10-00-29,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-3_10-00-29.jpg
14,10-00-40,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-14_10-00-40.jpg
12,10-00-38,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-12_10-00-38.jpg
16,10-00-42,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-16_10-00-42.jpg
7,10-00-33,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-7_10-00-33.jpg
20,10-00-46,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-20_10-00-46.jpg
5,10-00-31,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-5_10-00-31.jpg
10,10-00-36,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-10_10-00-36.jpg
17,10-00-43,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-17_10-00-43.jpg
15,10-00-41,c:\Users\THANH CONG\Documents\RESFES\demo\12-03-2026\frame-15_10-00-41.jpg
